	Lambda_Max
S427	420.00000
S428	430.00000
S429	561.00000
S430	500.00000
S431	499.00000
S433	450.00000
S434	486.00000
S435	479.00000
S436	539.00000
S437	502.00000
S438	525.00000
S439	521.00000
S440	509.00000
S441	510.00000
S442	521.00000
S443	513.00000
S444	515.00000
S445	513.00000
S446	496.00000
S447	508.00000
S448	505.00000
S449	498.00000
S450	505.00000
S451	500.00000
S452	494.00000
S453	505.00000
S454	420.00000
S455	360.00000
S456	360.00000
S457	435.00000
S458	431.00000
S459	430.00000
S460	429.00000
S461	430.00000
S462	431.00000
S463	435.00000
S464	439.00000
S465	431.00000
S466	452.00000
S467	516.00000
S468	492.00000
S469	448.00000
S470	516.00000
S471	494.00000
S472	447.00000
S473	517.00000
S475	469.00000
S476	516.00000
S477	491.00000
S478	460.00000
S479	519.00000
S480	491.00000
S481	462.00000
S482	517.00000
S483	493.00000
S484	493.00000
S487	512.00000
S488	508.00000
S489	508.00000
S490	510.00000
S491	508.00000
S492	508.00000
S493	516.00000
S494	515.00000
S495	514.00000
S496	516.00000
S497	515.00000
S498	516.00000
S499	516.00000
S500	514.00000
S501	513.00000
S502	514.00000
S503	515.00000
S504	469.00000
S505	454.00000
S506	463.00000
S507	462.00000
S508	485.00000
S509	416.00000
S510	452.00000
S511	466.00000
S512	438.00000
S513	408.00000
S514	439.00000
S515	405.00000
S516	448.00000
S517	397.00000
S518	416.00000
S519	443.00000
S521	418.00000
S522	416.00000
S524	416.00000
S525	417.00000
S526	418.00000
S527	417.00000
S528	417.00000
S529	417.00000
S530	416.00000
S531	419.00000
S532	443.00000
S533	443.00000
S534	442.00000
S535	440.00000
S536	437.00000
S537	441.00000
S538	444.00000
S539	443.00000
S540	442.00000
S541	442.00000
S542	487.00000
S543	484.00000
S544	477.00000
S545	498.00000
S546	453.00000
S547	467.00000
S548	476.00000
S549	488.00000
S550	505.00000
S551	528.00000
S552	519.00000
S553	484.00000
S554	423.00000
S555	368.00000
S556	511.00000
S557	505.00000
S558	502.00000
S559	441.00000
S560	507.00000
S561	508.00000
S562	491.00000
S563	504.00000
S564	486.00000
S565	504.00000
S566	487.00000
S567	511.00000
S568	525.00000
S569	508.00000
S571	508.00000
S572	508.00000
S573	509.00000
S574	503.00000
S575	488.00000
S576	491.00000
S577	491.00000
S578	489.00000
S579	505.00000
S580	488.00000
S581	489.00000
S582	474.00000
S583	524.00000
S584	488.00000
S585	499.00000
S586	497.00000
S588	500.00000
S589	478.00000
S590	495.00000
S591	493.00000
S592	511.00000
S593	491.00000
S594	484.00000
S595	499.00000
S596	361.00000
S597	360.00000
S598	359.00000
S599	360.00000
S600	360.00000
S602	359.00000
S603	360.00000
S604	361.00000
S606	361.00000
S607	361.00000
S608	361.00000
S609	392.00000
S610	392.00000
S611	398.00000
S612	392.00000
S613	359.00000
S614	377.00000
S615	357.00000
S616	383.00000
S617	357.00000
S618	369.00000
S619	374.00000
S620	374.00000
S621	374.00000
S622	374.00000
S623	375.00000
S624	375.00000
S625	360.00000
S626	393.00000
S627	393.00000
S628	366.00000
S629	360.00000
S630	398.00000
S631	360.00000
S632	360.00000
S633	359.00000
S634	383.00000
S635	410.00000
S636	389.00000
S637	417.00000
S638	421.00000
S639	422.00000
S640	360.00000
S641	361.00000
S642	404.00000
S643	404.00000
S644	408.00000
S645	404.00000
S646	418.00000
S647	355.00000
S648	380.00000
S649	408.00000
S650	385.00000
S651	411.00000
S652	421.00000
S653	422.00000
S654	361.00000
S655	359.00000
S656	394.00000
S657	360.00000
S658	355.00000
S659	359.00000
S660	361.00000
S661	370.00000
S662	359.00000
S663	361.00000
S664	357.00000
