,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6688,0.9318,0.6447,0.6876,0.66,0.6255,0.6289,0.06
xgboost,Extreme Gradient Boosting,0.6647,0.9278,0.6389,0.6752,0.6557,0.6207,0.6236,0.319
lr,Logistic Regression,0.6608,0.9298,0.6346,0.6833,0.6469,0.6152,0.62,0.052
gbc,Gradient Boosting Classifier,0.6547,0.9247,0.6295,0.6745,0.646,0.6094,0.6131,0.312
rf,Random Forest Classifier,0.6427,0.9159,0.6182,0.6664,0.6292,0.5946,0.6,0.057
ridge,Ridge Classifier,0.6409,0.0,0.6132,0.6504,0.625,0.5923,0.5967,0.004
et,Extra Trees Classifier,0.6367,0.8875,0.6182,0.6509,0.6236,0.5887,0.5934,0.053
dt,Decision Tree Classifier,0.6229,0.8249,0.6119,0.652,0.6164,0.5749,0.579,0.005
svm,SVM - Linear Kernel,0.6209,0.0,0.603,0.6416,0.6006,0.5722,0.5788,0.008
ada,Ada Boost Classifier,0.2854,0.5967,0.2044,0.1224,0.1588,0.1449,0.1942,0.024
